Mach,CD Power-On
9.26,0.75637412
9.27,0.756244059
9.28,0.756114302
9.29,0.755984838
9.3,0.755855777
9.31,0.755726907
9.32,0.75559853
9.33,0.755470352
9.34,0.755342454
9.35,0.755214956
9.36,0.755087757
9.37,0.754960835
9.38,0.75483421
9.39,0.754707972
9.4,0.754581921
9.41,0.754456254
9.42,0.754330873
9.43,0.754205775
9.44,0.754081061
9.45,0.75395653
9.46,0.753832381
9.47,0.753708504
9.48,0.753584918
9.49,0.753461702
9.5,0.753338665
9.51,0.753216008
9.52,0.75309363
9.53,0.752971518
9.54,0.752849785
9.55,0.752728218
9.56,0.752607037
9.57,0.752486113
9.58,0.752365462
9.59,0.752245086
9.6,0.752124983
9.61,0.752005235
9.62,0.751885757
9.63,0.751766553
9.64,0.751647709
9.65,0.751529027
9.66,0.751410713
9.67,0.751292551
9.68,0.751174767
9.69,0.751057231
9.7,0.750940053
9.71,0.750823043
9.72,0.750706289
9.73,0.750589992
9.74,0.75047375
9.75,0.750357862
9.76,0.75024233
9.77,0.750126952
9.78,0.750011937
9.79,0.749897164
9.8,0.749782644
9.81,0.749668375
9.82,0.749554349
9.83,0.749440681
9.84,0.749327265
9.85,0.749214088
9.86,0.749101059
9.87,0.74898848
9.88,0.748876038
9.89,0.748763944
9.9,0.748651997
9.91,0.748540396
9.92,0.74842903
9.93,0.74831791
9.94,0.748207125
9.95,0.748096584
9.96,0.747986177
9.97,0.747876112
9.98,0.747766291
9.99,0.747656691
10,0.747547444
10.01,0.747510769
10.02,0.747470134
10.03,0.747429492
10.04,0.747389124
10.05,0.747348649
10.06,0.747308468
10.07,0.74726836
10.08,0.747228246
10.09,0.747188314
10.1,0.747148466
10.11,0.747108711
10.12,0.747069028
10.13,0.747029439
10.14,0.746990033
10.15,0.746950599
10.16,0.746911358
10.17,0.7468722
10.18,0.746833124
10.19,0.746794231
10.2,0.74675532
10.21,0.746716592
10.22,0.746677846
10.23,0.746639272
10.24,0.74660079
10.25,0.74656238
10.26,0.746524153
10.27,0.746485907
10.28,0.746447844
10.29,0.746409762
10.3,0.746371852
10.31,0.746334124
10.32,0.746296277
10.33,0.746258712
10.34,0.746221119
10.35,0.746183706
10.36,0.746146266
10.37,0.746109106
10.38,0.746071928
10.39,0.746034822
10.4,0.745997796
10.41,0.745960841
10.42,0.745924067
10.43,0.745887365
10.44,0.745850743
10.45,0.745814192
10.46,0.745777722
10.47,0.745741323
10.48,0.745705003
10.49,0.745668856
10.5,0.745632778
10.51,0.74559667
10.52,0.745560744
10.53,0.745524887
10.54,0.745489211
10.55,0.745453495
10.56,0.74541786
10.57,0.745382394
10.58,0.745347008
10.59,0.745311683
10.6,0.745276437
10.61,0.745241261
10.62,0.745206156
10.63,0.745171119
10.64,0.745136252
10.65,0.745101356
10.66,0.745066638
10.67,0.745031981
10.68,0.744997393
10.69,0.744962884
10.7,0.744928534
10.71,0.744894164
10.72,0.744859854
10.73,0.744825712
10.74,0.744791639
10.75,0.744757636
10.76,0.744723702
10.77,0.744689836
10.78,0.74465604
10.79,0.744622402
10.8,0.744588734
10.81,0.744555243
10.82,0.744521702
10.83,0.74448834
10.84,0.744455046
10.85,0.74442191
10.86,0.744388743
10.87,0.744355635
10.88,0.744322695
10.89,0.744289723
10.9,0.744256919
10.91,0.744224174
10.92,0.744191497
10.93,0.744158878
10.94,0.744126327
10.95,0.744093845
10.96,0.74406142
10.97,0.744029163
10.98,0.743996964
10.99,0.743964733
11,0.743932659
11.01,0.743900654
11.02,0.743868706
11.03,0.743836915
11.04,0.743805103
11.05,0.743773337
11.06,0.74374174
11.07,0.743710199
11.08,0.743678627
11.09,0.743647211
11.1,0.743615853
11.11,0.743584561
11.12,0.743553328
11.13,0.743522151
11.14,0.743491141
11.15,0.743460187
11.16,0.743429191
11.17,0.743398358
11.18,0.743367581
11.19,0.743336864
11.2,0.743306207
11.21,0.743275608
11.22,0.743245167
11.23,0.743214685
11.24,0.74318426
11.25,0.743153994
11.26,0.743123784
11.27,0.743093534
11.28,0.74306344
11.29,0.743033403
11.3,0.743003424
11.31,0.742973599
11.32,0.742943734
11.33,0.742914024
11.34,0.742884269
11.35,0.742854672
11.36,0.742825031
11.37,0.742795546
11.38,0.742766115
11.39,0.74273674
11.4,0.74270742
11.41,0.742678256
11.42,0.742649046
11.43,0.742619991
11.44,0.74259089
11.45,0.742561944
11.46,0.742533052
11.47,0.742504114
11.48,0.74247533
11.49,0.742446599
11.5,0.742418023
11.51,0.742389299
11.52,0.742360829
11.53,0.742332412
11.54,0.742303947
11.55,0.742275635
11.56,0.742247275
11.57,0.742219069
11.58,0.742190914
11.59,0.742162811
